gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1024,16384,2048,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,60.4762,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1136.31,1733.87
gfx950,256,1024,16384,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,107.397,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1279.73,1640.28
gfx950,256,1024,16384,6656,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,164.2949,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1359.37,1614.72
gfx950,256,1024,16384,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,197.3416,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1392.9,1615.31
gfx950,256,1024,16384,13312,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,312.555,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1429.11,1590.2
gfx950,256,1024,16384,26624,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,596.8639,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1496.75,1609.24
gfx950,256,2048,16384,2048,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,115.295,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1192.06,1236.88
gfx950,256,2048,16384,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,201.0475,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1367.23,1084.84
gfx950,256,2048,16384,6656,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,312.2677,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1430.43,1000.67
gfx950,256,2048,16384,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,370.4202,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1484.14,996.43
gfx950,256,2048,16384,13312,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,588.2507,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1518.66,948.31
gfx950,256,2048,16384,26624,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,1158.5257,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1542.22,905.1
gfx950,256,4096,16384,2048,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,209.7933,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1310.23,1039.61
gfx950,256,4096,16384,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,384.44,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1430.02,785.53
gfx950,256,4096,16384,6656,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,594.3976,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1502.96,684.47
gfx950,256,4096,16384,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,715.0195,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1537.74,656.99
gfx950,256,4096,16384,13312,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,1180.0684,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1514.07,575.79
gfx950,256,4096,16384,26624,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,2315.9959,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1542.93,528.82
gfx950,256,8192,16384,2048,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,402.4127,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1366.15,917.21
gfx950,256,8192,16384,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,735.8522,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1494.2,638.39
gfx950,256,8192,16384,6656,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,1172.104,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1524.36,508.14
gfx950,256,8192,16384,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,1418.3458,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1550.41,473.15
gfx950,256,8192,16384,13312,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,2350.1553,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1520.5,392.63
gfx950,256,8192,16384,26624,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,4679.1879,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1527.36,337.04
gfx950,256,16384,16384,2048,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,791.7086,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1388.78,847.65
gfx950,256,16384,16384,4096,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,1468.7844,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1497.17,548.28
gfx950,256,16384,16384,6656,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,2338.6747,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1527.96,416.08
gfx950,256,16384,16384,8192,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,2840.907,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1548.11,377.96
gfx950,256,16384,16384,13312,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,4751.9617,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1503.97,296.57
